THANKSGIVING	B-ACONTECIMENTO_EFEMERIDE
Cordas	I-ABSTRACCAO_DISCIPLINA
.	O
Na	O
Cité	B-ORGANIZACAO_INSTITUICAO
Universitaire	I-ORGANIZACAO_INSTITUICAO
arranjou	O
maneira	O
de	O
não	O
ficar	O
muito	B-TEMPO_DURACAO
tempo	I-TEMPO_DURACAO
na	O
Residência	B-LOCAL_HUMANO
André	I-LOCAL_HUMANO
de	I-LOCAL_HUMANO
Gouveia	I-LOCAL_HUMANO
,	O
indo	O
antes	O
para	O
uma	O
casa	O
que	O
era	O
a	O
cara	O
dele	O
-	O
a	O
Deutsche	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
la	I-LOCAL_HUMANO
Meurthe	I-LOCAL_HUMANO
,	O
a	O
mais	O
antiga	O
,	O
a	O
mais	O
clássica	O
,	O
aquela	O
onde	O
Simone	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Beauvoir	I-PESSOA_INDIVIDUAL
ia	O
visitar	O
o	O
estudante	O
Jean-Paul	B-PESSOA_INDIVIDUAL
Sartre	I-PESSOA_INDIVIDUAL
.	O
Quando	O
eu	O
cheguei	O
,	O
deu-me	O
a	O
conhecer	O
a	O
área	O
de	O
Montparnasse	B-LOCAL_HUMANO
e	O
do	O
Port	B-LOCAL_HUMANO
Royal	I-LOCAL_HUMANO
.	O
Nessa	B-TEMPO_TEMPO_CALEND
altura	I-TEMPO_TEMPO_CALEND
era	O
um	O
parisiense	O
com	O
uma	O
costela	O
americana	O
,	O
português	O
q.b.	O
e	O
vagamente	O
judeu	O
.	O
Agora	O
é	O
um	O
americano	O
parisiense	O
,	O
um	O
verdadeiro	O
mangeur	O
de	O
fromage	O
.	O
Pôs	O
a	O
Europa	B-ABSTRACCAO_IDEIA
e	O
a	O
Teoria	B-ABSTRACCAO_DISCIPLINA
das	I-ABSTRACCAO_DISCIPLINA
Cordas	I-ABSTRACCAO_DISCIPLINA
de	O
parte	O
e	O
foi	O
para	O
a	O
melhor	O
cidade	O
da	O
América	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Norte	I-LOCAL_HUMANO
mostrar	O
que	O
um	O
físico	O
matemático	O
é	O
pau	O
para	O
toda	O
a	O
obra	O
-	O
nem	O
que	O
seja	O
para	O
mostrar	O
que	O
a	O
Biologia	B-ABSTRACCAO_DISCIPLINA
Celular	I-ABSTRACCAO_DISCIPLINA
é	O
só	O
``	O
quebra	O
de	O
simetria	O
''	O
e	O
que	O
não	O
há	O
nada	O
como	O
o	B-TEMPO_GENERICO
outono	I-TEMPO_GENERICO
na	O
Nova	B-LOCAL_HUMANO
Inglaterra	I-LOCAL_HUMANO
.	O
Que	O
rica	O
prenda	O
de	B-TEMPO_GENERICO
Thanksgiving	I-TEMPO_GENERICO
.	O
Bem	O
vindo	O
,	O
Pedro	B-PESSOA_INDIVIDUAL
.	O
EFEMÉRIDE	O
A	B-TEMPO_TEMPO_CALEND
24	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Novembro	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1960	I-TEMPO_TEMPO_CALEND
,	O
no	O
restaurante	O
Le	B-LOCAL_HUMANO
Vrai	I-LOCAL_HUMANO
Gascon	I-LOCAL_HUMANO
-LRB-	O
n.º	O
82	O
da	O
rue	O
du	O
Bac	B-LOCAL_HUMANO
,	O
Paris	B-LOCAL_HUMANO
-RRB-	O
,	O
em	O
torno	O
dessas	O
figuras	O
majestáticas	O
que	O
eram	O
Raymond	B-PESSOA_INDIVIDUAL
Queneau	I-PESSOA_INDIVIDUAL
e	O
François	B-PESSOA_INDIVIDUAL
Le	I-PESSOA_INDIVIDUAL
Lionnais	I-PESSOA_INDIVIDUAL
,	O
nasceu	O
uma	O
das	O
mais	O
heterodoxas	O
correntes	O
literárias	O
do	B-TEMPO_TEMPO_CALEND
século	I-TEMPO_TEMPO_CALEND
XX	I-TEMPO_TEMPO_CALEND
.	O
Desafio	O
intelectual	O
e	O
brincadeira	O
de	O
literatos	O
apaixonados	O
pela	O
sua	O
língua	O
,	O
explosiva	O
mistura	O
de	O
cérebros	O
moldados	O
pelas	O
leis	O
da	O
gramática	O
e	O
mentes	O
científicas	O
habituadas	O
a	O
todo	O
o	O
tipo	O
de	O
operações	O
lógicas	O
,	O
o	O
OuLiPo	B-ABSTRACCAO_DISCIPLINA
-LRB-	O
Ouvroir	B-ABSTRACCAO_DISCIPLINA
de	I-ABSTRACCAO_DISCIPLINA
Littérature	I-ABSTRACCAO_DISCIPLINA
Potentiel	I-ABSTRACCAO_DISCIPLINA
-RRB-	O
veio	O
libertar	O
a	O
literatura	O
da	O
forma	O
mais	O
radical	O
:	O
acorrentando-a	O
.	O
Isto	O
é	O
,	O
inventando	O
um	O
sem	O
número	O
de	O
constrangimentos	O
que	O
estimulam	O
a	O
imaginação	O
e	O
a	O
perícia	O
verbal	O
de	O
quem	O
escreve	O
.	O
Na	O
definição	O
sucinta	O
de	O
Queneau	B-PESSOA_INDIVIDUAL
,	O
um	O
autor	O
oulipiano	O
é	O
um	O
``	O
rato	O
que	O
constrói	O
o	O
labirinto	O
do	O
qual	O
se	O
propõe	O
sair	O
''	O
.	O
Um	O
labirinto	O
de	O
palavras	O
,	O
claro	O
;	O
um	O
labirinto	O
textual	O
.	O
E	O
se	O
grande	O
parte	O
da	O
produção	O
destes	O
autores	O
auto-espartilhados	O
não	O
sobrevive	O
fora	O
do	O
contexto	O
em	O
que	O
surgiu	O
,	O
enquanto	O
mecanismo	O
lúdico	O
ou	O
exercício	O
de	O
estilo	O
,	O
o	O
certo	O
é	O
que	O
os	O
processos	O
do	O
OuLiPo	B-ABSTRACCAO_DISCIPLINA
estão	O
inscritos	O
na	O
estrutura	O
de	O
algumas	O
obras-primas	O
de	O
autores	O
como	O
Italo	B-PESSOA_INDIVIDUAL
Calvino	I-PESSOA_INDIVIDUAL
-LRB-	O
Se	B-OBRA_REPRODUZIDA
Numa	I-OBRA_REPRODUZIDA
Noite	I-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Inverno	I-OBRA_REPRODUZIDA
um	I-OBRA_REPRODUZIDA
Viajante	I-OBRA_REPRODUZIDA
-RRB-	O
ou	O
Georges	B-PESSOA_INDIVIDUAL
Perec	I-PESSOA_INDIVIDUAL
-LRB-	O
A	B-OBRA_REPRODUZIDA
Vida	I-OBRA_REPRODUZIDA
Modo	I-OBRA_REPRODUZIDA
de	I-OBRA_REPRODUZIDA
Usar	I-OBRA_REPRODUZIDA
;	O
La	B-OBRA_REPRODUZIDA
Disparition	I-OBRA_REPRODUZIDA
;	O
etc	O
-RRB-	O
.	O
Quanto	O
mais	O
não	O
fosse	O
por	O
isso	O
,	O
já	O
valeria	O
a	O
pena	O
celebrar	O
os	B-TEMPO_GENERICO
45	I-TEMPO_GENERICO
anos	I-TEMPO_GENERICO
de	O
um	O
movimento	O
que	O
continua	O
activo	O
e	O
em	O
expansão	O
-LRB-	O
investigar	O
aqui	O
-RRB-	O
.	O
Juventude	O
em	O
Durban	B-LOCAL_HUMANO
Às	B-TEMPO_TEMPO_CALEND
três	I-TEMPO_TEMPO_CALEND
horas	I-TEMPO_TEMPO_CALEND
e	I-TEMPO_TEMPO_CALEND
vinte	I-TEMPO_TEMPO_CALEND
minutos	I-TEMPO_TEMPO_CALEND
da	I-TEMPO_TEMPO_CALEND
tarde	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
13	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1888	I-TEMPO_TEMPO_CALEND
nascia	O
em	O
Lisboa	B-LOCAL_HUMANO
,	O
capital	O
portuguesa	O
,	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
.	O
O	O
parto	O
ocorreu	O
no	O
quarto	O
andar	O
esquerdo	O
do	O
nº	O
4	O
do	O
Largo	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
São	I-LOCAL_HUMANO
Carlos	I-LOCAL_HUMANO
,	O
em	O
frente	O
da	O
ópera	O
de	O
Lisboa	B-LOCAL_HUMANO
-LRB-	O
Teatro	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
São	I-LOCAL_HUMANO
Carlos	I-LOCAL_HUMANO
-RRB-	O
.	O
O	O
seu	O
pai	O
era	O
funcionário	O
público	O
do	O
Ministério	B-ORGANIZACAO_ADMINISTRACAO
da	I-ORGANIZACAO_ADMINISTRACAO
Justiça	I-ORGANIZACAO_ADMINISTRACAO
e	O
crítico	O
musical	O
do	O
``	O
Diário	B-ORGANIZACAO_EMPRESA
de	I-ORGANIZACAO_EMPRESA
Notícias	I-ORGANIZACAO_EMPRESA
''	O
,	O
Joaquim	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Seabra	I-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
-LRB-	O
38	B-VALOR_QUANTIDADE
-RRB-	O
,	O
natural	O
de	O
Lisboa	B-LOCAL_HUMANO
;	O
e	O
a	O
sua	O
mãe	O
D.	B-PESSOA_INDIVIDUAL
Maria	I-PESSOA_INDIVIDUAL
Magdalena	I-PESSOA_INDIVIDUAL
Pinheiro	I-PESSOA_INDIVIDUAL
Nogueira	I-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
-LRB-	O
26	B-VALOR_QUANTIDADE
-RRB-	O
,	O
natural	O
da	O
Ilha	B-LOCAL_FISICO
Terceira	I-LOCAL_FISICO
-LRB-	O
Açores	B-LOCAL_HUMANO
-RRB-	O
.	O
Viviam	O
com	O
eles	O
a	O
avó	B-PESSOA_INDIVIDUAL
Dionísia	I-PESSOA_INDIVIDUAL
,	O
doente	O
mental	O
e	O
duas	O
criadas	O
velhas	O
,	O
Joana	B-PESSOA_INDIVIDUAL
e	O
Emília	B-PESSOA_INDIVIDUAL
.	O
É	O
baptizado	O
em	B-TEMPO_TEMPO_CALEND
21	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Julho	I-TEMPO_TEMPO_CALEND
na	O
Igreja	B-LOCAL_HUMANO
dos	I-LOCAL_HUMANO
Mártires	I-LOCAL_HUMANO
,	O
no	O
Chiado	B-LOCAL_HUMANO
.	O
Os	O
padrinhos	O
são	O
a	O
sua	O
Tia	B-PESSOA_INDIVIDUAL
Anica	I-PESSOA_INDIVIDUAL
-LRB-	O
D.	B-PESSOA_INDIVIDUAL
Ana	I-PESSOA_INDIVIDUAL
Luísa	I-PESSOA_INDIVIDUAL
Pinheiro	I-PESSOA_INDIVIDUAL
Nogueira	I-PESSOA_INDIVIDUAL
,	O
sua	O
tia	O
materna	O
-RRB-	O
e	O
o	O
General	B-PESSOA_INDIVIDUAL
Chaby	I-PESSOA_INDIVIDUAL
.	O
A	O
razão	O
por	O
detrás	O
do	O
nome	O
Fernando	B-ABSTRACCAO_NOME
António	I-ABSTRACCAO_NOME
encontra-se	O
relacionada	O
com	O
Santo	B-PESSOA_INDIVIDUAL
António	I-PESSOA_INDIVIDUAL
:	O
a	O
sua	O
família	O
reclamava	O
uma	O
ligação	O
genealógica	O
com	O
Fernando	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Bulhões	I-PESSOA_INDIVIDUAL
,	O
nome	O
de	O
baptismo	O
de	O
Santo	B-PESSOA_INDIVIDUAL
António	I-PESSOA_INDIVIDUAL
,	O
cujo	O
dia	O
tradicionalmente	O
consagrado	O
em	O
Lisboa	B-LOCAL_HUMANO
é	O
13	B-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Junho	I-TEMPO_TEMPO_CALEND
,	O
dia	B-TEMPO_GENERICO
em	O
que	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
nasceu	O
.	O
A	O
sua	O
infância	O
e	O
adolescência	O
foram	O
marcadas	O
por	O
factos	O
que	O
o	O
influenciariam	O
posteriormente	O
.	O
Às	B-TEMPO_TEMPO_CALEND
cinco	I-TEMPO_TEMPO_CALEND
horas	I-TEMPO_TEMPO_CALEND
da	I-TEMPO_TEMPO_CALEND
manhã	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
24	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Julho	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1893	I-TEMPO_TEMPO_CALEND
,	O
o	O
seu	O
pai	O
morre	O
com	O
43	B-VALOR_QUANTIDADE
anos	I-VALOR_QUANTIDADE
vítima	O
de	O
tuberculose	O
.	O
A	O
morte	O
é	O
reportada	O
no	O
Diário	B-LOCAL_VIRTUAL
de	I-LOCAL_VIRTUAL
Notícias	I-LOCAL_VIRTUAL
do	B-TEMPO_TEMPO_CALEND
dia	I-TEMPO_TEMPO_CALEND
.	O
Joaquim	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Seabra	I-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
deixou-o	O
com	O
apenas	O
cinco	O
anos	O
,	O
a	O
mãe	O
e	O
o	O
seu	O
irmão	O
Jorge	B-PESSOA_INDIVIDUAL
que	O
viria	O
a	O
falecer	O
no	B-TEMPO_TEMPO_CALEND
outro	I-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
sem	O
chegar	O
a	O
completar	O
um	O
ano	O
.	O
A	O
mãe	O
então	O
vê-se	O
obrigada	O
a	O
leiloar	O
parte	O
da	O
mobília	O
e	O
mudam-se	O
para	O
uma	O
casa	O
mais	O
modesta	O
,	O
o	O
terceiro	O
andar	O
do	O
n.º	O
104	O
da	O
Rua	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
São	I-LOCAL_HUMANO
Marçal	I-LOCAL_HUMANO
.	O
É	O
também	O
nesse	B-TEMPO_TEMPO_CALEND
período	I-TEMPO_TEMPO_CALEND
que	O
surge	O
o	O
seu	O
primeiro	O
heterónimo	O
,	O
Chevalier	B-PESSOA_INDIVIDUAL
de	I-PESSOA_INDIVIDUAL
Pas	I-PESSOA_INDIVIDUAL
,	O
facto	O
relatado	O
pelo	O
próprio	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
a	O
Adolfo	B-PESSOA_INDIVIDUAL
Casais	I-PESSOA_INDIVIDUAL
Monteiro	I-PESSOA_INDIVIDUAL
,	O
numa	O
carta	O
de	B-TEMPO_TEMPO_CALEND
1935	I-TEMPO_TEMPO_CALEND
em	O
que	O
fala	O
extensamente	O
sobre	O
a	O
origem	O
dos	O
heterónimos	O
.	O
Ainda	O
no	B-TEMPO_TEMPO_CALEND
mesmo	I-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
cria	O
seu	O
primeiro	O
poema	O
,	O
um	O
verso	O
curto	O
com	O
a	O
infantil	O
epígrafe	O
de	O
À	O
Minha	O
Querida	O
Mamã	O
.	O
Sua	O
mãe	O
casa-se	O
pela	O
segunda	O
vez	O
em	B-TEMPO_TEMPO_CALEND
1895	I-TEMPO_TEMPO_CALEND
por	O
procuração	O
,	O
na	O
Igreja	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
São	I-LOCAL_HUMANO
Mamede	I-LOCAL_HUMANO
em	O
Lisboa	B-LOCAL_HUMANO
,	O
com	O
o	O
Comandante	B-PESSOA_INDIVIDUAL
João	I-PESSOA_INDIVIDUAL
Miguel	I-PESSOA_INDIVIDUAL
Rosa	I-PESSOA_INDIVIDUAL
,	O
cônsul	B-PESSOA_CARGO
de	I-PESSOA_CARGO
Portugal	I-PESSOA_CARGO
em	O
Durban	B-LOCAL_HUMANO
-LRB-	O
África	B-LOCAL_HUMANO
do	I-LOCAL_HUMANO
Sul	I-LOCAL_HUMANO
-RRB-	O
,	O
o	O
qual	O
havia	O
conhecido	O
um	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
antes	I-TEMPO_TEMPO_CALEND
.	O
Em	O
África	B-LOCAL_HUMANO
,	O
Pessoa	B-PESSOA_INDIVIDUAL
viria	O
a	O
demonstrar	O
possuir	O
desde	O
cedo	O
habilidades	O
para	O
a	O
literatura	O
.	O
Em	O
razão	O
do	O
casamento	O
,	O
muda-se	O
com	O
a	O
mãe	O
e	O
um	O
tio-avô	O
,	O
Manuel	B-PESSOA_INDIVIDUAL
Gualdino	I-PESSOA_INDIVIDUAL
da	I-PESSOA_INDIVIDUAL
Cunha	I-PESSOA_INDIVIDUAL
,	O
para	O
Durban	B-LOCAL_HUMANO
,	O
onde	O
passa	O
a	O
maior	O
parte	O
da	O
sua	O
juventude	O
.	O
Viajam	O
no	O
navio	O
Funchal	B-COISA_OBJECTO
até	O
à	O
Madeira	B-LOCAL_HUMANO
e	O
depois	O
no	O
paquete	O
Inglês	O
Hawarden	B-COISA_OBJECTO
Castle	I-COISA_OBJECTO
até	O
ao	O
Cabo	B-LOCAL_FISICO
da	I-LOCAL_FISICO
Boa	I-LOCAL_FISICO
Esperança	I-LOCAL_FISICO
.	O
Tendo	O
que	O
dividir	O
a	O
atenção	O
da	O
mãe	O
com	O
os	O
filhos	O
do	O
casamento	O
e	O
com	O
o	O
padrasto	O
,	O
Pessoa	B-PESSOA_INDIVIDUAL
isola-se	O
,	O
o	O
que	O
lhe	O
propiciava	O
momentos	O
de	O
reflexão	O
.	O
Em	O
Durban	B-LOCAL_HUMANO
recebe	O
uma	O
educação	O
britânica	O
,	O
o	O
que	O
lhe	O
proporciona	O
um	O
profundo	O
contacto	O
com	O
a	O
língua	O
inglesa	O
.	O
Os	O
seus	O
primeiros	O
textos	O
e	O
estudos	O
são	O
feitos	O
em	O
inglês	O
.	O
Mantém	O
contato	O
com	O
a	O
literatura	O
inglesa	O
através	O
de	O
autores	O
como	O
Shakespeare	B-PESSOA_INDIVIDUAL
,	O
Edgar	B-PESSOA_INDIVIDUAL
Allan	I-PESSOA_INDIVIDUAL
Poe	I-PESSOA_INDIVIDUAL
,	O
John	B-PESSOA_INDIVIDUAL
Milton	I-PESSOA_INDIVIDUAL
,	O
Lord	B-PESSOA_INDIVIDUAL
Byron	I-PESSOA_INDIVIDUAL
,	O
John	B-PESSOA_INDIVIDUAL
Keats	I-PESSOA_INDIVIDUAL
,	O
Percy	B-PESSOA_INDIVIDUAL
Shelley	I-PESSOA_INDIVIDUAL
,	O
Alfred	B-PESSOA_INDIVIDUAL
Tennyson	I-PESSOA_INDIVIDUAL
,	O
entre	O
outros	O
.	O
O	O
inglês	O
teve	O
grande	O
destaque	O
na	O
sua	O
vida	O
,	O
trabalhando	O
com	O
o	O
idioma	O
quando	O
,	O
mais	B-TEMPO_TEMPO_CALEND
tarde	I-TEMPO_TEMPO_CALEND
,	O
se	O
torna	O
correspondente	O
comercial	O
em	O
Lisboa	B-LOCAL_HUMANO
,	O
além	O
de	O
utilizar	O
o	O
idioma	O
em	O
alguns	O
dos	O
seus	O
textos	O
e	O
traduzir	O
trabalhos	O
de	O
poetas	O
ingleses	O
,	O
como	O
O	B-OBRA_REPRODUZIDA
Corvo	I-OBRA_REPRODUZIDA
e	O
Annabel	B-OBRA_REPRODUZIDA
Lee	I-OBRA_REPRODUZIDA
de	O
Edgar	B-PESSOA_INDIVIDUAL
Allan	I-PESSOA_INDIVIDUAL
Poe	I-PESSOA_INDIVIDUAL
.	O
Com	O
excepção	O
de	O
Mensagem	B-OBRA_REPRODUZIDA
,	O
os	O
únicos	O
livros	O
publicados	O
em	O
vida	O
são	O
os	O
das	O
colectâneas	O
dos	O
seus	O
poemas	O
ingleses	O
:	O
Antinous	B-OBRA_REPRODUZIDA
e	O
35	B-OBRA_REPRODUZIDA
Sonnets	I-OBRA_REPRODUZIDA
e	O
English	B-OBRA_REPRODUZIDA
Poems	I-OBRA_REPRODUZIDA
I	I-OBRA_REPRODUZIDA
-	I-OBRA_REPRODUZIDA
II	I-OBRA_REPRODUZIDA
e	O
III	B-OBRA_REPRODUZIDA
,	O
escritos	O
entre	B-TEMPO_TEMPO_CALEND
1918	I-TEMPO_TEMPO_CALEND
e	I-TEMPO_TEMPO_CALEND
1921	I-TEMPO_TEMPO_CALEND
.	O
Faz	O
o	O
curso	O
primário	O
na	O
escola	O
de	O
freiras	O
irlandesas	O
da	O
West	B-LOCAL_HUMANO
Street	I-LOCAL_HUMANO
,	O
onde	O
realiza	O
a	O
sua	O
primeira	O
comunhão	O
e	O
percorre	O
em	B-TEMPO_DURACAO
três	I-TEMPO_DURACAO
anos	I-TEMPO_DURACAO
o	O
equivalente	O
a	O
cinco	O
.	O
Em	B-TEMPO_TEMPO_CALEND
1899	I-TEMPO_TEMPO_CALEND
ingressa	O
na	O
Durban	B-ORGANIZACAO_INSTITUICAO
High	I-ORGANIZACAO_INSTITUICAO
School	I-ORGANIZACAO_INSTITUICAO
,	O
onde	O
permanecerá	O
durante	B-TEMPO_DURACAO
três	I-TEMPO_DURACAO
anos	I-TEMPO_DURACAO
e	O
será	O
um	O
dos	O
primeiros	O
alunos	O
da	O
turma	O
,	O
no	B-TEMPO_TEMPO_CALEND
mesmo	I-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
cria	O
o	O
pseudónimo	O
Alexander	B-ABSTRACCAO_NOME
Search	I-ABSTRACCAO_NOME
,	O
no	O
qual	O
envia	O
cartas	O
a	O
si	O
mesmo	O
utilizando	O
esse	O
nome	O
.	O
No	B-TEMPO_TEMPO_CALEND
ano	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
1901	I-TEMPO_TEMPO_CALEND
é	O
aprovado	O
com	O
distinção	O
no	O
seu	O
primeiro	O
exame	O
da	O
Cape	B-ORGANIZACAO_INSTITUICAO
Scholl	I-ORGANIZACAO_INSTITUICAO
High	I-ORGANIZACAO_INSTITUICAO
Examination	I-ORGANIZACAO_INSTITUICAO
,	O
escreve	O
os	O
primeiros	O
poemas	O
em	O
inglês	O
.	O
Na	B-TEMPO_TEMPO_CALEND
mesma	I-TEMPO_TEMPO_CALEND
época	I-TEMPO_TEMPO_CALEND
morre	O
sua	O
irmã	O
Madalena	B-PESSOA_INDIVIDUAL
Henriqueta	I-PESSOA_INDIVIDUAL
,	O
de	O
dois	O
anos	O
.	O
De	O
férias	O
,	O
parte	O
em	B-TEMPO_TEMPO_CALEND
1901	I-TEMPO_TEMPO_CALEND
com	O
a	O
família	O
para	O
Portugal	B-LOCAL_HUMANO
.	O
No	O
navio	O
em	O
que	O
viajam	O
,	O
o	O
paquete	O
König	B-COISA_OBJECTO
,	O
vem	O
o	O
corpo	O
da	O
sua	O
irmã	O
falecida	O
.	O
Em	O
Lisboa	B-LOCAL_HUMANO
mora	O
com	O
a	O
família	O
em	O
Pedrouços	B-LOCAL_HUMANO
e	O
depois	B-TEMPO_TEMPO_CALEND
na	O
Avenida	B-LOCAL_HUMANO
de	I-LOCAL_HUMANO
D.	I-LOCAL_HUMANO
Carlos	I-LOCAL_HUMANO
I	I-LOCAL_HUMANO
,	O
n.º	O
.	O
109	O
,	O
3º	O
.	O
Esquerdo	O
.	O
Na	O
capital	O
portuguesa	O
nasce	O
João	B-PESSOA_INDIVIDUAL
Maria	I-PESSOA_INDIVIDUAL
,	O
quarto	O
filho	O
do	O
segundo	O
casamento	O
da	O
mãe	O
de	O
Pessoa	B-PESSOA_INDIVIDUAL
.	O
Viaja	O
com	O
o	O
padrasto	O
,	O
a	O
mãe	O
e	O
os	O
irmãos	O
à	O
Ilha	B-LOCAL_FISICO
Terceira	I-LOCAL_FISICO
,	O
nos	O
Açores	B-LOCAL_FISICO
,	O
onde	O
vive	O
a	O
família	O
materna	O
.	O
Também	O
partem	O
para	O
Tavira	B-LOCAL_HUMANO
onde	O
para	O
visitar	O
os	O
parentes	O
paternos	O
.	O
Nessa	B-TEMPO_TEMPO_CALEND
época	I-TEMPO_TEMPO_CALEND
escreve	O
a	O
poesia	O
Quando	O
ela	O
passa	O
.	O
Fernando	B-PESSOA_INDIVIDUAL
Pessoa	I-PESSOA_INDIVIDUAL
permanece	O
em	O
Lisboa	B-LOCAL_HUMANO
enquanto	O
todos	O
regressam	O
para	O
Durban	B-LOCAL_HUMANO
:	O
a	O
mãe	O
,	O
o	O
padrasto	O
,	O
os	O
irmãos	O
e	O
a	O
criada	O
Paciência	B-PESSOA_INDIVIDUAL
que	O
viera	O
com	O
eles	O
.	O
Volta	O
sozinho	O
para	O
a	O
África	B-LOCAL_HUMANO
no	O
vapor	O
Herzog	B-COISA_OBJECTO
.	O
Na	B-TEMPO_TEMPO_CALEND
mesma	I-TEMPO_TEMPO_CALEND
época	I-TEMPO_TEMPO_CALEND
,	O
tenta	O
escrever	O
romances	O
em	O
inglês	O
e	O
matricula-se	O
na	O
Commercial	B-ORGANIZACAO_INSTITUICAO
School	I-ORGANIZACAO_INSTITUICAO
.	O
Lá	O
estuda	O
à	B-TEMPO_GENERICO
noite	I-TEMPO_GENERICO
enquanto	O
de	B-TEMPO_GENERICO
dia	I-TEMPO_GENERICO
se	O
ocupa	O
